area,coverage,variable,value
"St. Joseph County, Indiana",Total,    Population 18 to 24 years,"31,651"
"St. Joseph County, Indiana",Male,    Population 18 to 24 years,"15,346"
"St. Joseph County, Indiana",Female,    Population 18 to 24 years,"16,305"
46506,Total,    Population 18 to 24 years,773
46506,Male,    Population 18 to 24 years,359
46506,Female,    Population 18 to 24 years,414
46530,Total,    Population 18 to 24 years,"2,272"
46530,Male,    Population 18 to 24 years,"1,350"
46530,Female,    Population 18 to 24 years,922
46536,Total,    Population 18 to 24 years,214
46536,Male,    Population 18 to 24 years,85
46536,Female,    Population 18 to 24 years,129
46544,Total,    Population 18 to 24 years,"2,407"
46544,Male,    Population 18 to 24 years,"1,280"
46544,Female,    Population 18 to 24 years,"1,127"
46545,Total,    Population 18 to 24 years,"3,333"
46545,Male,    Population 18 to 24 years,"1,505"
46545,Female,    Population 18 to 24 years,"1,828"
46550,Total,    Population 18 to 24 years,"1,209"
46550,Male,    Population 18 to 24 years,599
46550,Female,    Population 18 to 24 years,610
46552,Total,    Population 18 to 24 years,430
46552,Male,    Population 18 to 24 years,255
46552,Female,    Population 18 to 24 years,175
46554,Total,    Population 18 to 24 years,298
46554,Male,    Population 18 to 24 years,149
46554,Female,    Population 18 to 24 years,149
46556,Total,    Population 18 to 24 years,"7,257"
46556,Male,    Population 18 to 24 years,"3,179"
46556,Female,    Population 18 to 24 years,"4,078"
46561,Total,    Population 18 to 24 years,"1,167"
46561,Male,    Population 18 to 24 years,686
46561,Female,    Population 18 to 24 years,481
46563,Total,    Population 18 to 24 years,"1,962"
46563,Male,    Population 18 to 24 years,945
46563,Female,    Population 18 to 24 years,"1,017"
46573,Total,    Population 18 to 24 years,304
46573,Male,    Population 18 to 24 years,156
46573,Female,    Population 18 to 24 years,148
46574,Total,    Population 18 to 24 years,761
46574,Male,    Population 18 to 24 years,341
46574,Female,    Population 18 to 24 years,420
46595,Total,    Population 18 to 24 years,26
46595,Male,    Population 18 to 24 years,12
46595,Female,    Population 18 to 24 years,14
46601,Total,    Population 18 to 24 years,326
46601,Male,    Population 18 to 24 years,161
46601,Female,    Population 18 to 24 years,165
46613,Total,    Population 18 to 24 years,"1,555"
46613,Male,    Population 18 to 24 years,669
46613,Female,    Population 18 to 24 years,886
46614,Total,    Population 18 to 24 years,"2,328"
46614,Male,    Population 18 to 24 years,"1,074"
46614,Female,    Population 18 to 24 years,"1,254"
46615,Total,    Population 18 to 24 years,"1,606"
46615,Male,    Population 18 to 24 years,828
46615,Female,    Population 18 to 24 years,778
46616,Total,    Population 18 to 24 years,578
46616,Male,    Population 18 to 24 years,221
46616,Female,    Population 18 to 24 years,357
46617,Total,    Population 18 to 24 years,"1,787"
46617,Male,    Population 18 to 24 years,996
46617,Female,    Population 18 to 24 years,791
46619,Total,    Population 18 to 24 years,"1,763"
46619,Male,    Population 18 to 24 years,940
46619,Female,    Population 18 to 24 years,823
46624,Total,    Population 18 to 24 years,0
46624,Male,    Population 18 to 24 years,0
46624,Female,    Population 18 to 24 years,0
46628,Total,    Population 18 to 24 years,"2,090"
46628,Male,    Population 18 to 24 years,964
46628,Female,    Population 18 to 24 years,"1,126"
46635,Total,    Population 18 to 24 years,466
46635,Male,    Population 18 to 24 years,132
46635,Female,    Population 18 to 24 years,334
46637,Total,    Population 18 to 24 years,"1,956"
46637,Male,    Population 18 to 24 years,"1,091"
46637,Female,    Population 18 to 24 years,865
"St. Joseph County, Indiana",Total,        Less than high school graduate,"2,781"
"St. Joseph County, Indiana",Male,        Less than high school graduate,"1,580"
"St. Joseph County, Indiana",Female,        Less than high school graduate,"1,201"
46506,Total,        Less than high school graduate,256
46506,Male,        Less than high school graduate,94
46506,Female,        Less than high school graduate,162
46530,Total,        Less than high school graduate,323
46530,Male,        Less than high school graduate,225
46530,Female,        Less than high school graduate,98
46536,Total,        Less than high school graduate,26
46536,Male,        Less than high school graduate,5
46536,Female,        Less than high school graduate,21
46544,Total,        Less than high school graduate,200
46544,Male,        Less than high school graduate,113
46544,Female,        Less than high school graduate,87
46545,Total,        Less than high school graduate,164
46545,Male,        Less than high school graduate,111
46545,Female,        Less than high school graduate,53
46550,Total,        Less than high school graduate,496
46550,Male,        Less than high school graduate,219
46550,Female,        Less than high school graduate,277
46552,Total,        Less than high school graduate,169
46552,Male,        Less than high school graduate,115
46552,Female,        Less than high school graduate,54
46554,Total,        Less than high school graduate,24
46554,Male,        Less than high school graduate,24
46554,Female,        Less than high school graduate,0
46556,Total,        Less than high school graduate,0
