"Label (Grouping)","St. Joseph County, Indiana!!Total!!Estimate","St. Joseph County, Indiana!!Male!!Estimate","St. Joseph County, Indiana!!Female!!Estimate","ZCTA5 46506!!Total!!Estimate","ZCTA5 46506!!Male!!Estimate","ZCTA5 46506!!Female!!Estimate","ZCTA5 46530!!Total!!Estimate","ZCTA5 46530!!Male!!Estimate","ZCTA5 46530!!Female!!Estimate","ZCTA5 46536!!Total!!Estimate","ZCTA5 46536!!Male!!Estimate","ZCTA5 46536!!Female!!Estimate","ZCTA5 46544!!Total!!Estimate","ZCTA5 46544!!Male!!Estimate","ZCTA5 46544!!Female!!Estimate","ZCTA5 46545!!Total!!Estimate","ZCTA5 46545!!Male!!Estimate","ZCTA5 46545!!Female!!Estimate","ZCTA5 46550!!Total!!Estimate","ZCTA5 46550!!Male!!Estimate","ZCTA5 46550!!Female!!Estimate","ZCTA5 46552!!Total!!Estimate","ZCTA5 46552!!Male!!Estimate","ZCTA5 46552!!Female!!Estimate","ZCTA5 46554!!Total!!Estimate","ZCTA5 46554!!Male!!Estimate","ZCTA5 46554!!Female!!Estimate","ZCTA5 46556!!Total!!Estimate","ZCTA5 46556!!Male!!Estimate","ZCTA5 46556!!Female!!Estimate","ZCTA5 46561!!Total!!Estimate","ZCTA5 46561!!Male!!Estimate","ZCTA5 46561!!Female!!Estimate","ZCTA5 46563!!Total!!Estimate","ZCTA5 46563!!Male!!Estimate","ZCTA5 46563!!Female!!Estimate","ZCTA5 46573!!Total!!Estimate","ZCTA5 46573!!Male!!Estimate","ZCTA5 46573!!Female!!Estimate","ZCTA5 46574!!Total!!Estimate","ZCTA5 46574!!Male!!Estimate","ZCTA5 46574!!Female!!Estimate","ZCTA5 46595!!Total!!Estimate","ZCTA5 46595!!Male!!Estimate","ZCTA5 46595!!Female!!Estimate","ZCTA5 46601!!Total!!Estimate","ZCTA5 46601!!Male!!Estimate","ZCTA5 46601!!Female!!Estimate","ZCTA5 46613!!Total!!Estimate","ZCTA5 46613!!Male!!Estimate","ZCTA5 46613!!Female!!Estimate","ZCTA5 46614!!Total!!Estimate","ZCTA5 46614!!Male!!Estimate","ZCTA5 46614!!Female!!Estimate","ZCTA5 46615!!Total!!Estimate","ZCTA5 46615!!Male!!Estimate","ZCTA5 46615!!Female!!Estimate","ZCTA5 46616!!Total!!Estimate","ZCTA5 46616!!Male!!Estimate","ZCTA5 46616!!Female!!Estimate","ZCTA5 46617!!Total!!Estimate","ZCTA5 46617!!Male!!Estimate","ZCTA5 46617!!Female!!Estimate","ZCTA5 46619!!Total!!Estimate","ZCTA5 46619!!Male!!Estimate","ZCTA5 46619!!Female!!Estimate","ZCTA5 46624!!Total!!Estimate","ZCTA5 46624!!Male!!Estimate","ZCTA5 46624!!Female!!Estimate","ZCTA5 46628!!Total!!Estimate","ZCTA5 46628!!Male!!Estimate","ZCTA5 46628!!Female!!Estimate","ZCTA5 46635!!Total!!Estimate","ZCTA5 46635!!Male!!Estimate","ZCTA5 46635!!Female!!Estimate","ZCTA5 46637!!Total!!Estimate","ZCTA5 46637!!Male!!Estimate","ZCTA5 46637!!Female!!Estimate"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","31,651","15,346","16,305","773","359","414","2,272","1,350","922","214","85","129","2,407","1,280","1,127","3,333","1,505","1,828","1,209","599","610","430","255","175","298","149","149","7,257","3,179","4,078","1,167","686","481","1,962","945","1,017","304","156","148","761","341","420","26","12","14","326","161","165","1,555","669","886","2,328","1,074","1,254","1,606","828","778","578","221","357","1,787","996","791","1,763","940","823","0","0","0","2,090","964","1,126","466","132","334","1,956","1,091","865"
"        Less than high school graduate","2,781","1,580","1,201","256","94","162","323","225","98","26","5","21","200","113","87","164","111","53","496","219","277","169","115","54","24","24","0","0","0","0","220","123","97","434","229","205","102","18","84","130","45","85","0","0","0","25","18","7","170","55","115","363","225","138","201","138","63","48","10","38","167","92","75","293","204","89","0","0","0","294","185","109","202","9","193","114","31","83"
"        High school graduate (includes equivalency)","11,312","6,063","5,249","263","192","71","855","564","291","113","58","55","1,222","788","434","1,535","819","716","292","177","115","158","88","70","141","55","86","977","337","640","390","266","124","920","369","551","74","54","20","407","235","172","26","12","14","166","82","84","551","309","242","924","443","481","560","355","205","280","82","198","595","321","274","760","502","258","0","0","0","1,148","435","713","199","110","89","566","373","193"
"        Some college or associate's degree","13,760","6,037","7,723","240","73","167","859","449","410","46","22","24","735","308","427","1,126","351","775","290","182","108","89","38","51","103","52","51","6,052","2,690","3,362","375","225","150","434","248","186","97","62","35","200","54","146","0","0","0","63","33","30","720","284","436","688","315","373","463","182","281","137","84","53","446","268","178","613","161","452","0","0","0","507","284","223","55","13","42","782","427","355"
"        Bachelor's degree or higher","3,798","1,666","2,132","14","0","14","235","112","123","29","0","29","250","71","179","508","224","284","131","21","110","14","14","0","30","18","12","228","152","76","182","72","110","174","99","75","31","22","9","24","7","17","0","0","0","72","28","44","114","21","93","353","91","262","382","153","229","113","45","68","579","315","264","97","73","24","0","0","0","141","60","81","10","0","10","494","260","234"
"    Population 25 years and over","177,621","85,726","91,895","6,667","3,221","3,446","21,020","10,011","11,009","2,144","1,064","1,080","21,271","10,873","10,398","18,116","8,619","9,497","7,931","3,999","3,932","4,577","2,146","2,431","3,051","1,510","1,541","589","442","147","9,721","4,812","4,909","15,923","7,996","7,927","2,602","1,282","1,320","5,217","2,683","2,534","24","12","12","3,589","1,960","1,629","6,487","3,179","3,308","20,321","9,806","10,515","9,472","4,369","5,103","3,779","1,930","1,849","6,888","3,326","3,562","13,688","6,313","7,375","48","23","25","18,123","8,271","9,852","4,756","2,177","2,579","11,516","5,669","5,847"
"        Less than 9th grade","4,371","2,432","1,939","679","314","365","186","67","119","57","42","15","348","284","64","340","236","104","1,356","796","560","150","76","74","29","11","18","0","0","0","234","133","101","716","281","435","147","85","62","79","33","46","0","0","0","130","63","67","401","170","231","364","241","123","278","171","107","96","65","31","64","17","47","1,137","614","523","0","0","0","465","227","238","179","118","61","92","40","52"
"        9th to 12th grade, no diploma","11,849","6,322","5,527","623","378","245","327","195","132","115","70","45","2,054","1,153","901","1,135","553","582","675","386","289","171","94","77","122","58","64","10","5","5","690","513","177","1,452","825","627","222","178","44","324","218","106","0","0","0","518","305","213","723","436","287","1,018","561","457","783","586","197","284","171","113","140","40","100","1,613","742","871","0","0","0","1,472","655","817","382","94","288","552","309","243"
"        High school graduate (includes equivalency)","53,166","26,923","26,243","2,181","1,284","897","3,539","1,602","1,937","685","354","331","7,429","3,913","3,516","5,630","2,728","2,902","2,834","1,332","1,502","1,560","848","712","1,228","662","566","121","96","25","3,731","1,836","1,895","6,241","3,258","2,983","1,015","471","544","2,169","1,249","920","24","12","12","1,082","720","362","2,551","1,313","1,238","5,940","2,786","3,154","2,453","1,114","1,339","908","474","434","1,042","556","486","5,792","3,048","2,744","0","0","0","6,201","3,086","3,115","1,242","632","610","2,551","1,350","1,201"
